,Predicted
0,18
1,17
2,12
3,12
4,1
5,13
6,1
7,25
8,3
9,0
10,25
11,25
12,9
13,15
14,5
15,24
16,6
17,15
18,11
19,15
20,25
21,8
22,8
23,13
24,24
25,22
26,1
27,6
28,16
29,17
30,5
31,20
32,20
33,22
34,7
35,17
36,10
37,11
38,8
39,23
40,3
41,19
42,18
43,20
44,8
45,9
46,9
47,12
48,8
49,2
50,10
51,12
52,12
53,7
54,2
55,20
56,2
57,0
58,3
59,14
60,11
61,14
62,22
63,12
64,3
65,16
66,15
67,9
68,21
69,11
70,22
71,17
72,3
73,4
74,7
75,6
76,8
77,6
78,3
79,9
80,12
81,0
82,5
83,4
84,7
85,16
86,18
87,16
88,25
89,0
90,5
91,10
92,12
93,5
94,25
95,5
96,2
97,0
98,13
99,0
100,6
101,18
102,0
103,13
104,20
105,12
106,21
107,9
108,13
109,13
110,18
111,18
112,11
113,2
114,22
115,21
116,10
117,15
118,18
119,17
120,18
121,15
122,11
123,15
124,9
125,11
126,14
127,2
128,15
129,12
130,22
131,16
132,16
133,15
134,16
135,19
136,22
137,0
138,23
139,25
140,0
141,8
142,16
143,17
144,14
145,6
146,19
147,14
148,8
149,8
150,22
151,4
152,18
153,1
154,13
155,14
156,4
157,12
158,11
159,12
160,6
161,4
162,0
163,12
164,7
165,16
166,11
167,3
168,13
169,15
170,5
171,22
172,3
173,7
174,14
175,15
176,6
177,19
178,0
179,18
180,11
181,14
182,4
183,5
184,24
185,13
186,11
187,19
188,2
189,15
190,2
191,15
192,21
193,4
194,9
195,11
196,2
197,10
198,12
199,19
200,12
201,17
202,12
203,0
204,0
205,5
206,8
207,2
208,2
209,12
210,18
211,24
212,10
213,14
214,11
215,6
216,8
217,8
218,16
219,21
220,0
221,24
222,2
223,7
224,24
225,1
226,12
227,19
228,12
229,4
230,8
231,11
232,0
233,10
234,23
235,21
236,2
237,8
238,5
