,Predicted
0,9
1,7
2,1
3,5
4,1
5,1
6,9
7,4
8,4
9,1
10,0
11,5
12,8
13,9
14,0
15,9
16,4
17,3
18,9
19,1
20,7
21,0
22,1
23,1
24,6
25,0
26,0
27,4
28,5
29,1
30,0
31,1
32,1
33,9
34,9
35,9
36,8
37,5
38,1
39,1
40,1
41,0
42,1
43,9
44,0
45,1
46,8
47,9
48,1
49,8
50,1
51,0
52,5
53,4
54,9
55,8
56,9
57,9
58,1
59,0
60,9
61,1
62,9
63,9
64,9
65,5
66,6
67,1
68,1
69,9
70,0
71,1
72,5
73,1
74,8
75,1
76,5
77,9
78,1
79,6
80,4
81,1
82,9
83,1
84,5
85,9
86,1
87,9
88,9
89,9
90,8
91,9
92,9
93,1
94,0
95,1
96,1
97,8
98,9
99,9
100,1
101,0
102,1
103,9
104,9
105,5
106,0
107,8
108,5
109,1
110,1
111,3
112,4
113,1
114,4
115,4
116,9
117,7
118,4
119,9
120,9
121,1
122,1
123,0
124,1
125,5
126,0
127,5
128,9
129,7
130,9
131,9
132,5
133,6
134,5
135,1
136,1
137,4
138,4
139,3
140,1
141,8
142,1
143,1
144,1
145,1
146,8
147,8
148,9
149,8
150,9
151,1
152,7
153,8
154,3
155,1
156,0
157,7
158,1
159,9
160,1
161,2
162,9
163,9
164,1
165,5
166,9
167,1
168,1
169,1
170,8
171,9
172,0
173,1
174,9
175,7
176,0
177,1
178,6
179,9
180,1
181,4
182,8
183,9
184,0
185,9
186,4
187,4
188,3
189,7
190,8
191,1
192,0
193,0
194,0
195,4
196,5
197,1
198,4
199,0
200,1
201,4
202,1
203,5
204,1
205,1
206,3
207,4
208,9
209,1
210,9
211,1
212,1
213,7
214,9
215,2
216,1
217,8
218,0
219,6
220,1
221,5
222,8
223,0
224,9
225,2
226,4
227,9
228,1
229,1
230,4
231,0
232,5
233,0
234,0
235,9
236,1
237,9
238,1
239,8
240,8
241,1
242,1
243,8
244,9
245,1
246,8
247,5
248,9
249,5
250,1
251,9
252,8
253,9
254,5
255,9
256,9
257,9
258,1
259,1
260,2
261,0
262,1
263,8
264,9
265,5
266,9
267,1
268,1
269,0
270,9
271,0
272,1
273,9
274,5
275,9
276,9
277,9
278,1
279,4
280,1
281,8
282,3
283,1
284,3
285,0
286,4
287,9
288,9
289,5
290,9
291,5
292,5
293,9
294,3
295,4
296,0
297,8
298,0
299,9
300,9
301,1
302,4
303,5
304,9
305,1
306,4
307,5
308,4
309,5
310,8
311,9
312,9
313,1
314,8
315,4
316,0
317,9
318,4
319,1
320,9
321,4
322,1
323,0
324,1
325,0
326,8
327,1
328,8
329,0
330,8
331,9
332,4
333,1
334,9
335,9
336,1
337,7
338,6
339,5
340,0
341,8
342,8
343,9
344,9
345,4
346,4
347,1
348,1
349,9
350,5
351,9
352,5
353,1
354,9
355,9
356,5
357,9
358,9
359,5
360,0
361,1
362,9
363,9
364,5
365,3
366,1
367,3
368,9
369,2
370,1
371,1
372,1
373,8
374,2
375,1
376,1
377,1
378,4
379,9
380,8
381,7
382,9
383,9
384,4
385,1
386,4
387,8
388,8
389,9
390,0
391,9
392,9
393,8
394,5
395,1
396,1
397,4
398,0
399,3
400,8
401,2
402,4
403,9
404,9
405,1
406,5
407,8
408,1
409,1
410,1
411,7
412,9
413,9
414,9
415,5
416,1
417,1
418,4
419,9
420,9
421,9
422,8
423,8
424,9
425,1
426,0
427,9
428,0
429,4
430,9
431,9
432,1
433,9
434,0
435,1
436,9
437,3
438,9
439,7
440,0
441,9
442,1
443,4
444,9
445,9
446,1
447,1
448,9
449,0
450,0
451,4
452,1
453,5
454,7
455,9
456,9
457,4
458,0
459,0
460,6
461,1
462,9
463,3
464,1
465,1
466,0
467,7
468,8
469,7
470,4
471,4
472,8
473,0
474,9
475,7
476,9
477,8
478,1
479,1
480,8
481,1
482,0
483,8
484,1
485,1
486,7
487,6
488,2
489,1
490,1
491,1
492,5
493,9
494,5
495,1
496,8
497,1
498,0
499,8
500,1
501,1
502,3
503,0
504,1
505,9
506,9
507,0
508,8
509,0
510,5
511,6
512,1
513,8
514,1
515,4
516,9
517,9
518,1
519,1
520,9
521,8
522,6
523,1
524,8
525,5
526,9
527,3
528,1
529,9
530,1
531,1
532,1
533,4
534,4
535,4
536,9
537,4
538,9
539,1
540,7
541,1
542,9
543,9
544,5
545,8
546,9
547,9
548,9
549,1
550,8
551,0
552,4
553,1
554,9
555,6
556,1
557,3
558,0
559,0
560,1
561,0
562,9
563,0
564,3
565,5
566,1
567,6
568,9
569,9
570,9
571,5
572,8
573,5
574,1
575,1
576,1
577,8
578,1
579,9
580,1
581,9
582,4
583,2
584,9
585,1
586,1
587,9
588,1
589,8
590,8
591,9
592,1
593,9
594,9
595,1
596,1
597,1
598,0
599,0
600,9
601,0
602,1
603,7
604,9
605,9
606,0
607,5
608,9
609,0
610,1
611,9
612,5
613,4
614,9
615,1
616,9
617,5
618,6
619,0
620,5
621,1
622,8
623,0
624,5
625,0
626,1
627,3
628,9
629,7
630,8
631,4
632,5
633,9
634,1
635,9
636,9
637,8
638,1
639,1
640,1
641,0
642,9
643,1
644,4
645,4
646,9
647,9
648,4
649,1
650,5
651,9
652,1
653,9
654,0
655,5
656,4
657,5
658,1
659,9
660,8
661,1
662,9
663,9
664,9
665,1
666,9
667,1
668,1
669,9
670,9
671,0
672,9
673,1
674,1
675,6
676,9
677,5
678,9
679,0
680,0
681,9
682,8
683,4
684,4
685,0
686,9
687,5
688,0
689,1
690,9
691,4
692,1
693,0
694,9
695,1
696,1
