,Predicted
0,9
1,7
2,1
3,5
4,1
5,1
6,9
7,0
8,8
9,1
10,0
11,5
12,2
13,9
14,0
15,9
16,4
17,4
18,9
19,1
20,7
21,0
22,1
23,1
24,6
25,9
26,8
27,4
28,5
29,1
30,0
31,1
32,1
33,4
34,9
35,9
36,8
37,5
38,1
39,1
40,1
41,0
42,1
43,9
44,0
45,1
46,8
47,1
48,1
49,0
50,1
51,0
52,5
53,4
54,5
55,8
56,9
57,9
58,0
59,0
60,9
61,1
62,9
63,9
64,9
65,5
66,6
67,0
68,6
69,9
70,0
71,1
72,3
73,1
74,8
75,1
76,5
77,9
78,1
79,9
80,0
81,1
82,9
83,1
84,5
85,9
86,1
87,9
88,9
89,9
90,8
91,4
92,9
93,8
94,0
95,1
96,1
97,2
98,5
99,9
100,1
101,0
102,1
103,4
104,4
105,5
106,4
107,6
108,5
109,1
110,1
111,1
112,4
113,1
114,0
115,4
116,9
117,7
118,4
119,9
120,9
121,1
122,1
123,7
124,1
125,5
126,1
127,2
128,9
129,7
130,5
131,9
132,5
133,6
134,5
135,4
136,7
137,4
138,1
139,3
140,1
141,8
142,1
143,1
144,1
145,1
146,8
147,2
148,4
149,8
150,9
151,1
152,7
153,5
154,0
155,1
156,0
157,7
158,3
159,9
160,1
161,2
162,9
163,9
164,1
165,5
166,9
167,1
168,1
169,1
170,8
171,9
172,1
173,1
174,9
175,7
176,1
177,1
178,6
179,9
180,1
181,9
182,8
183,9
184,8
185,9
186,4
187,4
188,3
189,7
190,9
191,1
192,0
193,6
194,0
195,4
196,5
197,1
198,7
199,0
200,1
201,5
202,1
203,5
204,1
205,3
206,3
207,6
208,9
209,1
210,9
211,1
212,1
213,7
214,9
215,2
216,1
217,2
218,0
219,6
220,1
221,5
222,2
223,0
224,9
225,9
226,4
227,9
228,1
229,1
230,4
231,4
232,9
233,0
234,8
235,3
236,1
237,8
238,1
239,8
240,8
241,1
242,1
243,4
244,9
245,7
246,2
247,5
248,5
249,5
250,1
251,4
252,8
253,9
254,5
255,9
256,9
257,9
258,3
259,1
260,2
261,8
262,1
263,8
264,9
265,5
266,4
267,1
268,1
269,0
270,5
271,1
272,4
273,5
274,5
275,9
276,2
277,9
278,1
279,5
280,2
281,8
282,1
283,1
284,1
285,0
286,1
287,4
288,1
289,9
290,9
291,5
292,9
293,9
294,3
295,4
296,0
297,8
298,0
299,6
300,9
301,1
302,9
303,9
304,9
305,1
306,4
307,5
308,6
309,5
310,8
311,5
312,9
313,1
314,8
315,4
316,0
317,9
318,5
319,1
320,5
321,4
322,1
323,4
324,1
325,0
326,8
327,0
328,8
329,0
330,9
331,4
332,4
333,1
334,9
335,9
336,1
337,7
338,6
339,5
340,0
341,8
342,8
343,0
344,9
345,4
346,4
347,1
348,0
349,9
350,9
351,5
352,5
353,1
354,9
355,4
356,5
357,9
358,4
359,5
360,0
361,4
362,9
363,4
364,9
365,7
366,1
367,3
368,9
369,6
370,1
371,1
372,1
373,8
374,4
375,1
376,1
377,1
378,8
379,9
380,4
381,7
382,4
383,9
384,4
385,1
386,4
387,8
388,0
389,9
390,0
391,9
392,9
393,8
394,4
395,6
396,1
397,4
398,6
399,5
400,8
401,4
402,4
403,9
404,9
405,1
406,5
407,2
408,1
409,1
410,1
411,9
412,9
413,9
414,9
415,5
416,1
417,2
418,4
419,2
420,9
421,9
422,8
423,6
424,9
425,1
426,4
427,4
428,0
429,4
430,5
431,9
432,8
433,9
434,5
435,1
436,9
437,3
438,9
439,7
440,0
441,0
442,1
443,4
444,9
445,5
446,1
447,1
448,0
449,0
450,0
451,6
452,1
453,5
454,7
455,9
456,8
457,4
458,0
459,8
460,1
461,1
462,9
463,3
464,1
465,1
466,0
467,7
468,6
469,7
470,4
471,4
472,8
473,0
474,4
475,7
476,9
477,2
478,1
479,1
480,8
481,0
482,9
483,9
484,1
485,1
486,7
487,0
488,2
489,1
490,1
491,1
492,5
493,9
494,5
495,1
496,8
497,1
498,0
499,8
500,1
501,6
502,1
503,0
504,1
505,9
506,5
507,5
508,4
509,0
510,5
511,6
512,1
513,8
514,1
515,9
516,9
517,5
518,1
519,1
520,2
521,8
522,6
523,1
524,8
525,5
526,5
527,3
528,1
529,9
530,1
531,1
532,6
533,9
534,4
535,0
536,9
537,4
538,9
539,1
540,7
541,1
542,9
543,9
544,5
545,1
546,9
547,9
548,9
549,1
550,8
551,0
552,0
553,1
554,9
555,6
556,1
557,3
558,0
559,0
560,1
561,5
562,9
563,0
564,3
565,5
566,7
567,8
568,9
569,9
570,9
571,5
572,8
573,5
574,1
575,1
576,1
577,8
578,1
579,4
580,1
581,6
582,1
583,8
584,5
585,1
586,1
587,9
588,1
589,8
590,8
591,9
592,0
593,9
594,9
595,1
596,1
597,1
598,0
599,0
600,0
601,0
602,1
603,7
604,9
605,9
606,0
607,1
608,5
609,0
610,3
611,9
612,5
613,5
614,9
615,1
616,9
617,2
618,6
619,0
620,5
621,1
622,8
623,2
624,2
625,9
626,0
627,3
628,9
629,7
630,8
631,4
632,9
633,9
634,1
635,4
636,9
637,8
638,1
639,1
640,1
641,0
642,9
643,1
644,4
645,4
646,4
647,4
648,0
649,5
650,5
651,4
652,1
653,9
654,0
655,9
656,4
657,5
658,4
659,9
660,8
661,1
662,9
663,9
664,9
665,1
666,9
667,1
668,1
669,9
670,5
671,0
672,9
673,1
674,1
675,9
676,5
677,5
678,9
679,2
680,0
681,9
682,8
683,0
684,5
685,0
686,9
687,4
688,4
689,8
690,9
691,9
692,1
693,0
694,9
695,1
696,1
