,Predicted
0,17
1,17
2,6
3,13
4,15
5,16
6,17
7,9
8,14
9,0
10,9
11,2
12,13
13,8
14,2
15,13
16,11
17,8
18,11
19,8
20,8
21,8
22,8
23,13
24,13
25,10
26,10
27,2
28,11
29,2
30,15
31,11
32,9
33,0
34,13
35,17
36,10
37,13
38,8
39,17
40,2
41,8
42,2
43,13
44,8
45,9
46,25
47,22
48,8
49,14
50,10
51,10
52,12
53,7
54,2
55,6
56,2
57,6
58,11
59,2
60,11
61,6
62,17
63,13
64,17
65,14
66,10
67,9
68,6
69,11
70,10
71,8
72,3
73,2
74,7
75,2
76,8
77,2
78,17
79,14
80,12
81,7
82,17
83,17
84,7
85,6
86,0
87,9
88,14
89,10
90,8
91,10
92,17
93,15
94,15
95,2
96,2
97,0
98,13
99,17
100,6
101,11
102,0
103,13
104,13
105,10
106,17
107,9
108,13
109,13
110,10
111,6
112,11
113,14
114,22
115,21
116,10
117,17
118,14
119,10
120,0
121,8
122,11
123,17
124,17
125,11
126,2
127,7
128,2
129,14
130,12
131,16
132,17
133,8
134,16
135,8
136,22
137,17
138,17
139,12
140,0
141,8
142,14
143,9
144,9
145,6
146,6
147,14
148,3
149,6
150,22
151,17
152,12
153,10
154,10
155,9
156,14
157,8
158,11
159,10
160,13
161,15
162,0
163,13
164,17
165,6
166,2
167,11
168,13
169,9
170,15
171,22
172,6
173,17
174,16
175,15
176,11
177,8
178,10
179,2
180,14
181,12
182,2
183,15
184,8
185,2
186,11
187,0
188,14
189,0
190,2
191,8
192,9
193,15
194,9
195,10
196,2
197,10
198,11
199,15
200,8
201,17
202,13
203,0
204,10
205,2
206,8
207,2
208,2
209,13
210,17
211,12
212,10
213,16
214,11
215,6
216,8
217,9
218,16
219,8
220,0
221,8
222,2
223,10
224,13
225,2
226,9
227,17
228,12
229,2
230,8
231,11
232,8
233,10
234,13
235,8
236,2
237,8
238,17
