,Predicted
0,9
1,0
2,6
3,9
4,9
5,9
6,6
7,1
8,3
9,1
10,1
11,9
12,9
13,7
14,1
15,1
16,6
17,1
18,4
19,4
20,2
21,8
22,9
23,9
24,9
25,9
26,9
27,3
28,4
29,1
30,4
31,1
32,8
33,0
34,9
35,6
36,3
37,0
38,4
39,7
40,6
41,6
42,2
43,8
44,1
45,1
46,9
47,1
48,9
49,9
50,1
51,1
52,9
53,9
54,2
55,6
56,9
57,2
58,1
59,3
60,9
61,9
62,7
63,6
64,1
65,9
66,1
67,6
68,6
69,1
70,9
71,4
72,6
73,9
74,9
75,3
76,9
77,9
78,5
79,3
80,4
81,4
82,1
83,9
84,4
85,1
86,3
87,3
88,2
89,4
90,5
91,6
92,9
93,1
94,2
95,9
96,9
97,8
98,9
99,6
100,3
101,9
102,6
103,1
104,9
105,9
106,4
107,4
108,5
109,6
110,3
111,2
112,1
113,9
114,2
115,9
116,9
117,1
118,1
119,0
120,9
121,2
122,6
123,9
124,3
125,2
126,1
127,1
128,1
129,1
130,3
131,9
132,3
133,5
134,5
135,9
136,0
137,1
138,9
139,0
140,1
141,9
142,1
143,6
144,3
145,6
146,5
147,9
148,1
149,9
150,9
151,2
152,3
153,4
154,9
155,1
156,7
157,6
158,0
159,9
160,2
161,2
162,4
163,5
164,3
165,3
166,1
167,4
168,9
169,0
170,5
171,4
172,2
173,1
174,4
175,1
176,2
177,1
178,1
179,1
180,0
181,0
182,6
183,6
184,9
185,7
186,6
187,4
188,1
189,1
190,0
191,5
192,1
193,1
194,1
195,1
196,1
197,7
198,9
199,1
200,0
201,2
202,0
203,9
204,4
205,1
206,2
207,1
208,9
209,6
210,8
211,4
212,0
213,9
214,4
215,8
216,5
217,1
218,2
219,8
220,6
221,9
222,2
223,0
224,2
225,1
226,5
227,1
228,5
229,1
230,5
231,9
232,2
233,0
234,2
235,3
236,1
237,3
238,2
239,9
240,2
241,1
242,4
243,2
244,6
245,1
246,0
247,1
248,7
249,9
250,6
251,9
252,3
253,7
254,2
255,4
256,3
257,0
258,5
259,2
260,2
261,9
262,9
263,7
264,1
265,4
266,9
267,4
268,9
269,6
270,0
271,3
272,9
273,1
274,9
275,2
276,7
277,1
278,9
279,4
280,4
281,9
282,6
283,3
284,0
285,4
286,1
287,7
288,0
289,9
290,3
291,3
292,4
293,0
294,0
295,3
296,0
297,6
298,9
299,6
300,9
301,9
302,0
303,1
304,3
305,1
306,6
307,6
308,1
309,3
310,1
311,1
312,4
313,0
314,2
315,4
316,3
317,5
318,1
319,1
320,3
321,3
322,3
323,9
324,9
325,6
326,9
327,2
328,2
329,2
330,6
331,0
332,1
333,6
334,6
335,8
336,5
337,9
338,9
339,6
340,9
341,7
342,9
343,9
344,6
345,4
346,5
347,1
348,7
349,6
350,0
351,1
352,2
353,9
354,9
355,4
356,5
357,9
358,5
359,1
360,6
361,4
362,1
363,1
364,2
365,8
366,8
367,1
368,6
369,1
370,1
371,4
372,3
373,1
374,2
375,9
376,2
377,3
378,1
379,0
380,9
381,0
382,8
383,7
384,1
385,1
386,5
387,3
388,5
389,6
390,9
391,9
392,9
393,2
394,2
395,7
396,4
397,6
398,6
399,2
400,4
401,9
402,6
403,9
404,9
405,6
406,1
407,9
408,5
409,5
410,1
411,8
412,3
413,2
414,2
415,1
416,5
417,6
418,6
419,9
420,1
421,1
422,9
423,3
424,9
425,9
426,9
427,1
428,1
429,9
430,0
431,9
432,9
433,9
434,1
435,6
436,2
437,2
438,9
439,1
440,4
441,2
442,9
443,3
444,1
445,6
446,1
447,4
448,2
449,6
450,6
451,9
452,3
453,3
454,1
455,3
456,6
457,7
458,3
459,5
460,9
461,4
462,9
463,9
464,7
465,5
466,1
467,2
468,9
469,6
470,0
471,9
472,6
473,4
474,1
475,1
476,6
477,9
478,5
479,3
480,0
481,9
482,1
483,4
484,1
485,9
486,3
487,1
488,1
489,6
490,1
491,9
492,9
493,5
494,0
495,4
496,1
497,6
498,1
499,9
500,9
501,1
502,9
503,8
504,7
505,4
506,9
507,9
508,9
509,1
510,1
511,9
512,1
513,6
514,1
515,0
516,9
517,2
518,4
519,1
520,0
521,5
522,9
523,1
524,5
525,5
526,9
527,1
528,1
529,1
530,4
531,2
532,2
533,4
534,8
535,1
536,4
537,3
538,2
539,6
540,4
541,9
542,1
543,1
544,6
545,2
546,5
547,0
548,9
549,0
550,9
551,9
552,6
553,3
554,4
555,4
556,9
557,9
558,9
559,1
560,8
561,9
562,6
563,6
564,1
565,9
566,7
567,9
568,9
569,6
570,9
571,1
572,2
573,8
574,2
575,2
576,3
577,2
578,6
579,9
580,4
581,3
582,1
583,3
584,0
585,6
586,7
587,3
588,6
589,2
590,1
591,9
592,5
593,6
594,2
595,1
596,1
597,9
598,1
599,9
600,3
601,8
602,0
603,1
604,6
605,0
606,1
607,2
608,8
609,1
610,1
611,5
612,6
613,1
614,6
615,4
616,1
617,1
618,9
619,1
620,0
621,1
622,8
623,9
624,3
625,1
626,2
627,9
628,1
629,4
630,3
631,1
632,1
633,9
634,1
635,1
636,7
637,6
638,4
639,9
640,9
641,4
642,0
643,4
644,6
645,0
646,1
647,9
648,2
649,7
650,4
651,9
652,1
653,3
654,9
655,3
656,9
657,0
658,1
659,2
660,0
661,2
662,9
663,8
664,1
665,8
666,3
667,3
668,9
669,6
670,8
671,1
672,9
673,6
674,9
675,1
676,0
677,1
678,4
679,1
680,0
681,9
682,9
