,Predicted
0,1
1,17
2,12
3,12
4,1
5,16
6,17
7,9
8,14
9,0
10,3
11,1
12,21
13,17
14,25
15,13
16,3
17,15
18,11
19,15
20,5
21,8
22,19
23,13
24,24
25,22
26,15
27,1
28,20
29,4
30,15
31,20
32,20
33,0
34,13
35,17
36,10
37,21
38,24
39,23
40,3
41,19
42,18
43,20
44,15
45,9
46,25
47,22
48,24
49,2
50,10
51,21
52,12
53,7
54,16
55,9
56,2
57,6
58,20
59,14
60,11
61,6
62,3
63,13
64,23
65,14
66,17
67,9
68,22
69,11
70,10
71,8
72,3
73,5
74,7
75,18
76,8
77,2
78,1
79,14
80,12
81,9
82,5
83,25
84,7
85,6
86,0
87,18
88,14
89,12
90,24
91,10
92,13
93,5
94,25
95,6
96,2
97,0
98,13
99,25
100,20
101,6
102,0
103,13
104,7
105,24
106,17
107,9
108,13
109,13
110,5
111,6
112,11
113,14
114,22
115,21
116,10
117,17
118,18
119,17
120,0
121,15
122,11
123,17
124,17
125,11
126,14
127,7
128,25
129,11
130,22
131,16
132,17
133,5
134,16
135,5
136,22
137,7
138,23
139,23
140,0
141,8
142,13
143,9
144,9
145,6
146,6
147,1
148,3
149,6
150,22
151,1
152,12
153,15
154,5
155,9
156,4
157,0
158,20
159,22
160,13
161,25
162,17
163,12
164,17
165,16
166,4
167,11
168,13
169,9
170,15
171,22
172,6
173,15
174,16
175,15
176,11
177,19
178,10
179,6
180,3
181,5
182,4
183,5
184,24
185,12
186,11
187,22
188,18
189,0
190,2
191,15
192,21
193,15
194,9
195,21
196,2
197,10
198,11
199,1
200,8
201,9
202,13
203,0
204,7
205,5
206,0
207,2
208,2
209,13
210,15
211,21
212,10
213,16
214,11
215,4
216,8
217,9
218,16
219,24
220,0
221,24
222,2
223,13
224,24
225,1
226,21
227,19
228,12
229,14
230,1
231,11
232,24
233,10
234,13
235,24
236,2
237,8
238,5
